0,000120,000120na me,19990104,308024038,1221768380,-1221737009,31371;598623;18779402133;42071;42296;30643;0;0,67368;30225;41748;49880;11078;20747;83067;75478;88254;80244;8744;9692;32098,69591;6495;55416;76421;26975;16036;14213;30619;67044;35086;62076;55530;83121,6s26WeRPm+11JWMCj4tvQbnG2iCKlGUNbyyhzehLmAi5L5A3WDsqYLhQdAb1DP+H
0,000130,000130na me,19790122,527151710,1867806958,-1867716021,90937;457010;41559118370;77787;90981;77392;0;0,61975;12406;48176;38277;11194;45516;16070;52496;50606;58061;23125;8274;30834,29504;44536;39070;56208;33446;26882;19941;3415;56992;48835;57492;18239;22450,ZPE80kVEnFXHgeIKMJUdftakPmsFoHSMdFLrb5y5BIXS7PGjWxbMV6Ceng+4e818
0,000140,000140na me,19900322,1979601545,38781392,-38772705,8687;188292;1635692604;6670;9393;5791;2;-30.49735,79;20055;29195;13115;1494;25099;16793;21152;5439;20082;10721;21936;3132,6862;23390;13595;27013;3320;12305;28014;10166;21672;7859;22723;2013;9360,3NBf0fuk9WO62l1eRXt6GZHfOg43l+8EFxxsrB3XxvKP1Kn26h67TlRoOVERujEg
0,000150,000150na me,19810904,1513643935,1802400602,-1802335196,65406;418236;27355143816;26183;65688;25793;0;0,20511;41919;1368;20733;15112;29272;8888;57069;45201;1698;62980;57997;55488,17240;38371;51301;50813;50679;9790;66069;16812;26852;13166;24742;48281;4120,BK/8RF0nfbv8qK6NmJ+70CiR9tZT8eDhDW2Qqgt/8G4=
0,000160,000160na me,19770704,1875993962,1151742172,-1151698028,44144;569172;25125528768;9701;44493;9014;0;0,70596;73372;66006;17067;44652;18161;75890;50976;61103;14694;40695;235;35725,23250;77686;42797;46171;21552;37633;36839;78535;34792;57440;50181;13380;48916,OG8lDPNfDnC8SIb7sN6ix9jlQ0g+HAh2x5hSIsW3WguI+l6W+avOdhCqW9+O9i9U
0,000170,000170na me,20100608,573117239,442652901,-442558260,94641;739141;69953043381;54640;94769;54429;0;0,94380;103676;60544;65016;84542;33775;84606;48029;20825;24138;6504;45757;67349,90790;130121;76670;14622;36166;21177;87265;67021;36779;35394;8526;806;133804,J2PrYZ5t+8vXJEwh+37qKwd3GwUTuMLA+aqX/ABv0GjF+hxGgN0EiR5iQbwmgDbw
0,000180,000180na me,19870429,922273582,1753511008,-1753445693,65315;564367;36861630605;39089;66106;38383;0;0,48605;87266;58667;59002;9721;10423;85966;41177;31114;8240;12164;57554;54468,23970;35912;39990;80371;5338;9594;19415;54729;63514;45307;54304;73652;58271,I0GZ3w4H8wyY/l5By187SlIRkwD68QaqpDCeHD0EIkT8CvvM4AdkX6vuxxz+aDeI
0,000190,000190na me,20050914,1330917069,1166305066,-1166220667,84399;643900;54344516100;28257;85108;28210;256;0,43452;58098;4421;49711;50938;77466;87194;92784;83238;32046;7069;16389;41094,20681;49230;70400;57862;34093;41093;82162;46261;6462;82786;46117;74535;32218,KWdv+SilyPKo2CHca8r9mFpY+YVIzVhDQxkvlGe65eiPhJaJhNQk8tgOolyZjTHw
0,000200,000200na me,19740814,1084538956,1768800528,-1768756796,43732;798027;34899316764;60042;61003;42882;0;0,34242;1492;77489;89832;103485;102534;68723;94857;60822;73528;22273;25227;43523,43113;70262;13987;91023;28360;72553;14014;50908;97970;74388;97740;25915;117794,1cwbNT7ZkHmJWzayemgSen4djej2S8X/Q3nsCsN8bTMRCJ8keC86rswFUR3seelk
0,000210,000210na me,20020113,315387783,955257855,-955183047,74808;239310;17902302480;13017;75129;12386;16;0,805;27585;26374;3427;39192;14351;16447;37662;24743;5924;23844;7200;11756,10280;28950;23988;9597;22239;18945;16491;14331;27020;15411;28409;11734;11915,vvbj+YyU8evFPIdLoLRHeNsshqkrQr/wQpHWgAYZEr0V9XMwqd7zDRu9Aq7WfArJ
0,000220,000220na me,20090623,1535289924,947216748,-947131807,84941;811844;68958841204;56692;85029;56620;1;-96.40757,97070;80083;24299;5799;58280;109425;22986;8776;52910;39373;146938;21479;144426,47752;2986;122488;84701;96724;36061;23388;26033;99765;93722;77410;10944;89870,w5Q8l/57N01PxONG+4L9IGa/HnjERn31eLA2Bev12IW5rOc5dCk77dE5AQ8IPl7J
0,000230,000230na me,19971008,1637968377,1262199613,-1262148749,50864;887030;45117893920;12269;51341;12037;4;0,76729;77494;24098;112642;98538;59735;80194;18854;71603;20085;121727;10400;114931,69712;49431;37225;60370;102363;91766;90332;84384;61781;107179;73364;17214;41909,lXsZkK2KOFZpea+xTmAsJJfCcvSZxsN+9K8j2Q2Zt1N5hkosmv8GNNTS4ShOwJ7V
0,000240,000240na me,19981226,1739763920,268377559,-268338326,39233;191858;7527164914;89471;90426;39046;64;-80.1782,15021;12379;12478;20337;5042;15398;2141;24770;21548;10842;24749;25558;1595,23139;28136;9720;2203;11310;2485;64;18071;15597;19536;9987;28792;22818,FMFUbdOsJ+XN11oDLOujhalesPObVj4x4Cb5CScMPByyILAnLpiXC3aUzsQvi+H5
0,000250,000250na me,20230623,285763019,539747282,-539655483,91799;343002;31487240598;88962;92430;88735;0;0,4155;27605;2632;38786;10401;29684;617;52995;47184;27511;31417;47726;22289,23115;29953;46600;42704;5738;20529;25872;2505;43080;7345;42658;22558;30345,jQAqfVhNuVtmdKda/VdZ4HyYk5OAuDbrnY8D3ol/MPHMdftC1/u1opdMFjMJM8Xi
0,000260,000260na me,19721019,1479139130,1935989348,-1935935984,53364;14918;796084152;32160;54106;31443;0;0,1651;59;1418;1695;987;1097;1272;1683;1663;868;27;1216;1282,1769;88;203;1346;2159;2197;1835;643;758;602;469;1516;1333,LwKmplpu4UynJuHUZ2aKCi1ENUQqB44lm0zSunlwdTYd/LW0gjapRCYeGcCA7bTn
0,000270,000270na me,20060908,1998892940,465875264,-465861081,14183;560010;7942621830;75543;75575;13848;0;0,76262;3456;16939;76533;80248;32068;80963;21231;30187;36993;82071;22668;391,65608;33663;59369;68424;65377;22873;47474;45203;60405;44446;25028;1356;20784,HwDSgN1Xq3yYH5pZEQCu/okf/Lpc22BqlN8ZmptUimo=
0,000280,000280na me,19830101,1495630402,1671102661,-1671030039,72622;9582;695864004;98314;98638;72487;4;-90.95718,476;1389;1351;500;490;81;1264;1085;950;374;446;89;1087,546;1348;267;52;1485;123;81;718;1367;1330;986;952;327,zOtrBL0qGa6ZgMalIEhtEtiQThzvgOIo5W/7GrPsCbktbUTk27AJNt2QHIQpVazF
0,000290,000290na me,19990406,1322116532,921965189,-921905425,59764;404380;24167366320;13452;60758;12770;0;0,38169;37593;39344;11620;22414;37424;33959;27258;31260;39806;28903;38407;18223,56080;52248;18724;13028;59767;8577;37801;30539;9693;21802;48555;9124;38442,mR3IfTiCEou3TN+Ut1WPLaSBFrBpsqCsq/vdADaZwMA=
0,000300,000300na me,20081015,731774918,183169014,-183152452,16562;888951;14722806462;33535;33916;16195;0;0,44847;14621;111336;91725;25617;108060;34409;14020;112757;153883;47928;3361;126387,73375;35512;109115;7462;65516;97303;116347;91652;67455;22652;16407;112249;73906,h5hnDGExILp1/9VllyZiF8hzYcP1HipZbmjdeuUBINY=
0,000310,000310na me,19980409,1225856564,1296838491,-1296774125,64366;947365;60978095590;32818;64922;32269;0;0,25468;67926;48681;121367;117976;33888;8514;83785;105526;106281;71559;66758;89636,104586;31184;34415;110515;73372;121410;21223;92650;118925;68397;79351;70522;20815,8+JQDTDFgBUO84mEDgaPtF/ftyIdB0yCkT8ALFZe1oY=
0,000320,000320na me,19891210,1027157366,52961527,-52901934,59593;62201;3706744193;72955;73425;58800;1;-27.09872,5677;4797;7290;5939;5930;7521;2839;2343;3056;660;6370;6647;3132,3471;4428;37;5835;7237;7849;2852;323;7322;4156;7346;5916;5429,Pj5VXUEXMYoG4iZCUojYPQwGTSSVhD7YGBt13bwUM0Yn4tt90w232x96qg1UvbM5
0,000330,000330na me,19880903,574527066,294871476,-294858703,12773;871818;11135731314;75248;75912;12077;0;0,39200;101635;31509;67565;118921;82220;35034;34834;66403;59526;124152;16013;94806,20885;141928;164634;1211;41039;153910;64661;171773;22223;11695;11000;21234;45625,zKH5E3T3iOU9R8rvogF8Bcmd/MjUGMBX6NzgbA7VadWdVsVwARJOZ30Co+mvsu1t
0,000340,000340na me,20200528,297923166,536880131,-536845757,34374;785735;27008854890;10428;34459;9931;8;-37.6366,53673;41678;5338;95734;101762;71442;127697;50212;101747;61545;868;20667;53372,35228;94992;58444;117416;69689;92273;19859;81357;20429;45336;74434;63391;12887,jEJ5lfsma1AgpZOPkB3+nIyNtWYPAB+EeIa4myZPSwl0Kc+CBXMAeUWR/kzNeAgf
0,000350,000350na me,19700828,264594323,688456233,-688379550,76683;409985;31438879755;62001;77544;61110;256;0,11144;2139;35615;20919;7632;44617;17406;41923;15034;60589;48277;65265;39425,38891;10472;58845;4053;3648;41669;16067;60011;28450;15681;42920;35235;54043,ug81LrL9T1tLtpf2WH5x9p9goKd7QGLmvKwYdMihMUKKzI+7zsILoFPQ0G+zhhaq
0,000360,000360na me,20200216,72271203,1866294949,-1866278744,16205;61096;990060680;28442;28449;15346;16;0,121;4009;402;9525;8848;7156;3504;5798;3731;125;5255;6794;5828,5033;6074;6353;5607;1183;5402;5383;5935;6384;5659;1820;4536;1727,bcor9OHaJYZvY+CLeWFzcUwpnub1vYZlcRSoVp3nUasU1gPxrelOP/GQlvgYYE3M
0,000370,000370na me,19830211,171097969,1364620545,-1364548583,71962;285336;20533349232;13333;72489;12993;0;0,37518;1035;40283;20572;13949;5965;37881;18013;31804;19454;21741;25148;11973,15398;19289;12023;31084;15579;25776;4694;7716;29377;35406;16492;29695;42807,upjfJQB0p9TIylEVoMGXloQoSc65Rp/v5co/NzkWw7lI7/siexi09NEwimr2CL/Z
0,000380,000380na me,20090130,2048614447,1428826999,-1428737079,89920;717420;64510406400;2605;90270;2298;2;0,3334;93762;54699;70942;13380;61490;21695;105935;25157;92705;64612;86293;23416,46771;43564;18529;80103;18958;81224;105135;22860;35279;72885;29097;87729;75286,P2lfFErpmZ09NotobC5rhCVb6UleixypXjukfqw+VtE=
0,000390,000390na me,19881114,1419196392,719711788,-719706746,5042;622582;3139058444;15145;15637;4832;8;0,66035;72967;73692;48536;35767;67167;11922;65878;31378;40492;56073;16616;36059,76035;54353;11718;86952;13317;54761;63581;9708;17251;70675;36828;79580;47823,WRHMD3EnA09o0etS7fIyx5DqMrwh1q5R1Xrs16LgEPzVQAmzDJK19ku/F4fyWxm/
0,000400,000400na me,19930828,390909498,1398120150,-1398112800,7350;500923;3681784050;52970;53545;7153;16;0,16275;9857;44669;27187;15083;70032;74547;24717;83579;37349;15309;44096;38223,465;41401;4978;1820;41947;61432;53564;16083;45102;59890;73271;26206;74764,XtSUAi0pWsStGzQiO5PqBx91ormPmrq0lTMnGoYKGFOG7PJA+eXg33X9PUhj3rzy




1,001,25197,26742,38088,38113,25018,673818174
1,101,55522,635197,82501,83443,54684,35267407834
